Qty,Value,Part Num,Package,Parts
1,,*,1X05_NO_SILK,JP1
5,,160-1457-1-ND,FKIT-LED-1206,"D2, D3, D4, D5, D6"
8,0.1u,399-7845-1-ND,0603-CAP,"C3, C4, C5, C10, C11, C13, C18, C21"
1,0.015u,587-1097-1-ND,0603-CAP,C12
5,1CONN,*,1CONN,"IN_GND, IN_VDD, M_A, M_B, M_C"
6,1R,1276-4991-1-ND,0603-RES,"R1, R2, R3, R4, R5, R6"
2,1u,587-2984-1-ND,0603-CAP,"C8, C9"
4,2.2K,311-2.20KHRCT-ND,0603-RES,"R23, R27, R29, R31"
3,2.2n,399-7880-1-ND,0603-CAP,"C1, C2, C30"
3,2.2u,445-5208-1-ND,1206-CAP,"C14, C15, C16"
10,2.2u,1276-1879-1-ND,0603-CAP,"C7, C27, C39, C40, C41, C42, C43, C44, C45, C46"
1,2PT_GND_TIE,*,2PT_GND_TIE,PT1
1,4.7u,490-3302-1-ND,0603-CAP,C47
2,4.7u,1276-1248-1-ND,805,"C19, C20"
6,10K,311-10KGRCT-ND,0603-RES,"R11, R12, R13, R14, R15, R36"
1,10K,RHM10.0KHCT-ND,0603-RES,R32
7,10uF,587-3248-1-ND,1206,"C22, C23, C24, C25, C26, C28, C31"
2,15p,712-1318-1-ND,0603-CAP,"C37, C38"
1,22n,1276-1936-1-ND,0603-CAP,C6
1,22uH,490-5272-1-ND,L5650M,L1
1,28K,311-28.0KHRCT-ND,0603-RES,R18
1,31.6K,311-31.6KHRCT-ND,0603-RES,R16
4,39K,311-39.0KHRCT-ND,0603-RES,"R22, R26, R28, R30"
1,39p,712-1345-1-ND,0603-CAP,C29
1,47u,490-3907-1-ND,1206,C17
9,100R,311-100HRCT-ND,0603-RES,"R7, R8, R9, R10, R24, R25, R33, R34, R37"
5,100n,399-1097-1-ND,0603-CAP,"C36, C48, C49, C50, C51"
1,120R,311-120GRCT-ND,0603-RES,R35
1,205K,541-205KHCT-ND,0603-RES,R17
4,220u,493-11950-1-ND,"E3,5-8","C32, C33, C34, C35"
3,680R,311-680HRCT-ND,0603-RES,"R19, R20, R21"
1,Brake,*,1X03,J4
1,CAN_6P6C,553-2258-ND,CAN_6P6C,U$12
1,DRV8301,296-29433-1-ND,56-TSSOP-POWERPAD,U$9
1,ENCODER,A33210-ND,1445055-5,JP2
6,IRFS7530-7PPBF,IRFS7530-7PPBF-ND,D2PAK-7PIN,"U$1, U$2, U$3, U$4, U$5, U$6"
1,MAX6103,MAX6103EUR+TCT-ND,SOT23-3,U$10
1,MCP2551,MCP2551T-E/SNCT-ND,SO08,U1
1,NCP18XH103F03RB,490-4800-1-ND,R0603,U$11
1,SCHOTTKY_SMA,497-12285-1-ND ,SMA,D1
1,STM32F40X,497-11767-ND,LQFP64,IC1
1,SWD,*,1X06_NO_SILK,JP3
29,"TPB1,27",*,"B1,27","TP3, TP6, TP9, TP11, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37"
1,Throttle,*,1X03,J2
1,USART,*,1X04,JP4
2,WSL4026,WSLR-.0003CT-ND,WSL4026,"U$7, U$8"
1,X1,535-9721-1-ND,CRYSTAL-SMD-5X3,X1
